Unnamed: 0.1,Unnamed: 0,smiles,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,ex12,ex13,ex14,ex15,ex16,ex17,ex18,ex19,ex20,ex21,ex22,ex23,ex24,ex25,ex26,ex27,ex28,ex29,ex30,ex31,ex32,ex33,ex34,ex35,ex36,ex37,ex38,ex39,ex40,ex41,ex42,ex43,ex44,ex45,ex46,ex47,ex48,ex49,ex50,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16,prob17,prob18,prob19,prob20,prob21,prob22,prob23,prob24,prob25,prob26,prob27,prob28,prob29,prob30,prob31,prob32,prob33,prob34,prob35,prob36,prob37,prob38,prob39,prob40,prob41,prob42,prob43,prob44,prob45,prob46,prob47,prob48,prob49,prob50,pc1,pc2,pc3,pc4,pc5,cluster
1872180,1872180,CC=C(NC1CCC(C2CCN(C(=O)C3CC3)CC2)CC1)C(C)=CC1CCCCC1,3.877,4.439,4.638,4.767,5.276,5.73,6.057,6.059,6.166,6.195,6.249,6.318,6.354,6.439,6.526,6.552,6.614,6.647,6.677,6.707,6.749,6.903,6.932,7.047,7.056,7.101,7.17,7.213,7.259,7.278,7.332,7.341,7.369,7.38,7.4,7.411,7.434,7.445,7.508,7.524,7.567,7.568,7.62,7.645,7.689,7.71,7.726,7.736,7.753,7.79,0.01095493,0.0,1.3e-07,5e-08,0.0007394,1.47e-06,0.01586155,0.03165916,0.17804762,0.27007276,4.2e-07,0.08410163,0.05014004,0.00982152,0.00224551,0.00865439,0.01961933,0.26669182,0.00284606,0.0007903,0.00106107,4.353e-05,0.16022486,0.01000779,1.901e-05,0.0057534,0.00010743,0.00079497,0.00156439,0.00183657,0.00019296,0.00038233,0.00443902,0.00794812,0.00214958,0.00084236,0.00183508,0.00861265,0.0143923,0.00741779,0.00423266,0.00090345,0.00861058,0.00266656,0.03346615,0.02187251,0.00561497,0.00935791,0.00716691,0.00280287,-3373336.9999988284,10.047592250016873,-1.0001358982465915,-1.2218577709790677,-0.4199933614314542,2
2216362,2216362,CC(=O)N1CCC(C(Cn2ncc3ccccc32)=NNc2ccncc2F)CC1,3.116,3.39,3.423,3.513,3.613,3.682,3.792,3.916,3.934,4.001,4.083,4.135,4.164,4.233,4.364,4.433,4.461,4.5,4.558,4.592,4.652,4.682,4.747,4.814,4.842,4.856,4.9,4.978,5.098,5.139,5.239,5.345,5.402,5.412,5.454,5.468,5.484,5.53,5.578,5.602,5.604,5.646,5.692,5.737,5.744,5.758,5.807,5.825,5.894,5.911,3.4e-05,0.00268072,0.00101354,0.0050347,4.833e-05,0.00150398,0.00222948,0.00547148,2.405e-05,0.05853394,0.01522154,0.0175739,0.01125251,0.00152336,0.00537248,6.594e-05,0.00017546,0.06902171,0.00070574,0.00643744,0.0006882,0.00331597,0.01238866,0.00707629,0.0917225,0.00217692,0.07185251,0.00784402,0.00034731,0.00020678,0.00259421,0.00018191,0.00473502,1.193e-05,0.00043919,0.00121155,0.03157978,0.00056698,0.0051864,0.00150825,0.0003573,0.00373826,0.00715312,0.03207603,0.00603366,0.05954175,0.09702897,0.01150699,0.04425912,0.00498888,-3029154.999998941,-3.969239299950453,-0.025964469143568,0.6031325585276859,-0.0226490293689581,0
4892071,4892071,Cc1cc(C)c(C)c(NCc2cn(C)cn2)c1,4.322,4.618,4.818,5.045,5.285,5.541,5.543,5.576,5.762,5.795,5.899,6.041,6.163,6.185,6.234,6.337,6.496,6.59,6.656,6.675,6.734,6.798,6.898,6.973,7.058,7.105,7.195,7.228,7.295,7.483,7.556,7.58,7.613,7.658,7.702,7.759,7.777,7.845,7.893,7.949,7.972,8.018,8.105,8.122,8.152,8.154,8.167,8.181,8.187,8.284,0.04272137,0.00010058,0.0002223,0.08520361,0.00067035,0.0003438,0.00050437,0.00050418,0.0079863,0.05810387,0.47443752,0.09551717,0.07198643,0.00214771,0.00181265,0.00183893,0.00119993,0.01764999,0.4127615,0.00481845,0.01139898,0.00268847,0.0368969,0.00031963,0.00053346,0.00015704,0.00115941,0.00132951,0.01110876,0.00144167,0.00513578,0.25787264,0.24382496,0.00264557,0.00056617,0.0009656,0.00862255,0.00061964,0.00051702,0.00016609,0.00119007,0.00067607,0.00932472,0.01756228,0.01237881,0.00228088,6.613e-05,0.00716818,0.00065188,0.00020689,-353445.9999998838,10.926554150282117,-0.0294727786556882,0.3854362709159801,-0.0239089981010313,4
797090,797090,C#CCOC1=CC=C(C(=O)Nc2ccc(C(=O)Nc3ccccc3OC)cc2)CC1,2.435,2.588,2.958,3.257,3.358,3.426,3.44,3.638,3.656,3.796,3.8,4.059,4.136,4.206,4.249,4.295,4.302,4.357,4.457,4.531,4.54,4.546,4.598,4.624,4.652,4.682,4.8,4.833,4.879,4.909,4.927,4.966,4.983,5.014,5.04,5.066,5.068,5.1,5.128,5.16,5.171,5.231,5.265,5.323,5.332,5.389,5.424,5.482,5.493,5.513,0.00900368,0.00289629,0.00179627,0.21945416,0.00070543,0.10569557,0.02169133,0.20317411,0.075118,0.00252692,0.05115715,0.17487897,0.00311738,0.00060219,0.00670401,0.00017918,0.01074731,0.25848818,0.00175354,0.00684327,0.00517059,0.00106644,0.02035165,0.01484811,0.0003086,1.4e-07,0.01712349,0.06877141,0.00029398,0.00021732,0.03564094,4.844e-05,0.03919359,0.00157175,0.00346535,0.00514474,0.00035181,0.00642082,0.00344187,0.03802648,0.00336995,0.00034298,0.00015776,0.00018627,0.00886791,0.03888271,0.0011914,0.00122372,0.0001988,0.00111971,-4448426.999998445,-6.024060590727843,0.3111315694808392,-0.3856380557574333,-0.0396992330519879,2
9557093,9557093,CCc1nccnc1NC1CCc2cc(O)ccc2C1,3.766,3.914,4.014,4.078,4.216,4.46,4.519,4.625,4.683,4.765,4.902,5.16,5.335,5.504,5.571,5.583,5.648,5.737,5.791,5.913,6.003,6.1,6.142,6.161,6.207,6.224,6.236,6.28,6.308,6.358,6.363,6.404,6.447,6.461,6.503,6.538,6.574,6.64,6.68,6.739,6.745,6.801,6.873,6.923,6.936,6.946,6.986,7.001,7.034,7.084,0.00257243,0.00061576,0.00337731,0.00015353,0.05213624,0.013931,0.00120402,0.00192659,0.05103412,0.00578716,0.00114782,0.25540353,0.0320137,0.00061531,0.00475886,0.02346618,0.00128609,0.0034148,0.02670013,0.0057294,0.02462597,0.02183576,0.00191371,0.2460299,0.00061206,0.014879,0.00725663,0.07857467,0.0233124,0.00238048,0.00766641,0.23303156,0.09570406,0.01565477,0.00592067,0.05232618,0.0146368,0.0309867,0.09956472,0.01042485,0.01011908,0.01920233,0.01178041,0.01552165,0.004537,0.00477193,0.01845451,0.01443043,0.02149584,0.00534664,4311575.999998493,3.785442555781019,0.1548101658713784,-0.1675667300967215,0.6100651232033151,1
286298,286298,CSc1nc2ccccc2c(C)c1NC(=O)N(CCNC(=O)C1CCC1)C1CC1,3.064,3.39,3.466,3.607,3.799,3.914,4.049,4.294,4.303,4.479,4.501,4.589,4.616,4.672,4.682,4.782,4.921,4.95,4.974,4.988,5.057,5.07,5.167,5.276,5.283,5.288,5.428,5.469,5.544,5.585,5.62,5.632,5.644,5.677,5.693,5.726,5.782,5.798,5.832,5.892,5.912,5.931,6.006,6.014,6.047,6.064,6.09,6.16,6.187,6.241,0.03056306,0.04658336,0.02297931,0.0226863,0.02317503,0.00114981,0.02813162,0.00110811,2.503e-05,0.07534418,0.0617356,0.03627895,0.00038556,0.0012901,0.06229337,0.00531761,0.00063381,0.02357954,0.04296933,0.00259752,0.2771729,0.13101718,0.01201717,0.04207656,0.00174922,0.00018804,0.00673597,0.00528309,0.02572507,0.00186164,0.04888574,0.14958152,0.07283349,1.216e-05,0.00926158,0.05968811,0.01493933,0.02084382,0.00032768,0.00172904,0.07277778,0.00183115,0.02023112,0.00239873,0.00337748,0.00044917,0.00064055,0.00078815,0.01401455,0.00254716,-4959218.999998268,-1.6263181379208125,0.0085459201805274,-0.1050604664905134,-0.0437821127313372,2
9481373,9481373,CC(C)c1c(C(=O)N(C)Cc2ncnn2CC(F)F)cnn1-c1ccc(C(N)(F)F)cn1,3.131,3.442,3.693,3.99,4.011,4.144,4.198,4.268,4.298,4.335,4.443,4.533,4.552,4.562,4.658,4.732,4.812,5.022,5.051,5.076,5.099,5.123,5.22,5.242,5.309,5.326,5.343,5.393,5.607,5.633,5.654,5.666,5.685,5.743,5.757,5.78,5.789,5.806,5.853,5.87,5.984,5.989,6.018,6.073,6.091,6.096,6.124,6.16,6.162,6.19,0.00448291,0.0002013,0.00249056,0.00756218,0.00385155,0.06549042,0.00017602,0.01070906,0.05443905,0.00255429,0.27233007,0.00136455,0.03138793,0.05310127,0.00286387,0.00899813,0.02477033,0.00012038,0.00027249,0.00309612,0.00172406,0.00367564,0.00075647,0.00601351,0.00604347,0.00147606,0.00027895,0.00845213,0.00223819,0.00040264,0.00297486,4.548e-05,0.00187799,8.476e-05,0.00019704,0.00097236,0.0039743,0.00555121,0.0044306,0.00613106,0.00073005,0.00104394,0.00068058,0.02210649,0.01329061,0.00295736,0.04023688,0.00152726,0.01348038,0.00582025,4235855.999998524,-1.4327474330432588,-0.2500617157018175,0.1577609354910947,-0.028437214867186,1
10054000,10054000,COc1ccc(-c2nnc(Nc3ccn(CCF)n3)n2Cc2cc(C)oc2C)cc1OC,3.337,3.566,3.69,4.303,4.347,4.391,4.433,4.586,4.614,4.635,4.688,4.734,4.778,4.801,4.842,4.859,4.926,5.066,5.085,5.099,5.132,5.147,5.174,5.237,5.297,5.361,5.373,5.379,5.4,5.52,5.526,5.533,5.601,5.636,5.669,5.675,5.721,5.74,5.765,5.805,5.822,5.845,5.903,5.929,5.954,6.008,6.035,6.047,6.131,6.156,0.13800541,0.07864994,0.00011913,0.03929417,0.11785525,0.01001135,0.0126884,0.00065034,0.00155191,0.01591403,0.03379599,0.00511548,0.00151576,0.0276103,0.00041003,0.00085979,0.0340849,0.00126772,0.00464586,0.014538,0.01710421,0.02792826,0.00290214,0.00599712,0.0018356,0.00445351,0.00039193,0.48460228,0.01429115,0.01129642,0.00021668,0.00132743,9.087e-05,0.00160277,0.00336974,0.00690464,0.11512468,0.08177465,0.10574242,0.06180221,0.04049916,0.00055621,0.11712691,0.00105599,0.00054448,0.02821555,0.02954899,0.00044996,0.06598448,0.00046014,4808482.999998324,-1.338420331395485,-1.1526584516795852,-0.2056472558236322,-0.3887674274543093,1
8509087,8509087,Cc1nnc(CN2CCC(CCN(C)C(=O)C3CCN3C(C)(F)F)C2)s1,3.5,3.532,3.878,4.556,4.579,5.001,5.067,5.103,5.194,5.245,5.277,5.424,5.545,5.591,5.618,5.642,5.683,5.921,5.967,6.05,6.09,6.112,6.21,6.27,6.283,6.293,6.305,6.371,6.444,6.472,6.548,6.639,6.645,6.681,6.727,6.734,6.771,6.795,6.82,6.915,7.018,7.077,7.077,7.117,7.128,7.182,7.215,7.249,7.263,7.271,0.01243706,0.00096347,8.731e-05,8.2e-07,1.906e-05,0.00044652,0.00021837,0.00329647,0.00868308,0.00048857,0.15423149,0.00800952,0.00647178,1.027e-05,0.00116787,0.01995883,0.00103632,0.0001711,9.251e-05,1.62e-05,0.00067299,3.02e-06,0.00028117,1.49e-06,0.00025921,3.242e-05,5.548e-05,0.0004565,0.00679329,0.18014468,0.0009008,0.00025382,1.12e-06,0.00033709,0.0050877,0.00091485,4.452e-05,0.00217041,4.998e-05,0.00029064,3.92e-06,0.00020856,0.01765909,0.01824533,0.00466988,0.01034919,0.00772383,0.00404656,0.01326004,0.00053258,3263569.999998862,5.08624421188993,0.039336548721677,-0.3907777062305565,-0.3912145168901882,1
1536647,1536647,CCCc1c(C(=S)Nc2cc(S(=O)(=O)N3CCCCCC3)ccc2OC)[nH]c(C)c1C(C)=O,2.391,2.477,2.589,2.973,3.099,3.164,3.268,3.551,3.635,3.656,3.753,3.763,3.861,3.887,3.891,3.958,3.974,4.08,4.144,4.179,4.24,4.246,4.367,4.382,4.407,4.466,4.469,4.55,4.595,4.71,4.833,4.853,4.87,4.877,4.886,4.93,4.943,5.005,5.046,5.053,5.077,5.081,5.092,5.108,5.199,5.219,5.25,5.281,5.31,5.318,0.00029846,2.234e-05,0.00634601,0.00391957,0.00585667,0.00029654,1.165e-05,0.00594384,0.19263858,0.00682888,0.00035305,0.07138209,0.00236947,0.06598644,0.00212553,0.00130302,0.00091993,0.00169446,0.00434469,3.954e-05,0.00016074,0.00044031,0.000838,0.00024458,0.00049088,0.00157633,0.02422341,0.00457048,0.04030694,0.04004044,0.00029696,0.00814919,0.00028321,0.00111374,0.00021063,0.00781323,0.01910152,0.00528012,0.01516975,0.00808284,5.88e-06,0.00999402,0.00707424,0.0002294,0.03377107,0.0001796,0.00473442,0.00327746,0.02168883,0.11207526,-3708869.999998704,-7.427567265593382,0.5918033403150357,-0.0541788110018472,-0.2013644101829381,2
9487345,9487345,O=c1[nH]c(CN2CCCN(Cc3cccnc3)CC2)nc2cc(-c3ccc(F)cc3)sc12,2.887,2.908,3.133,3.323,3.496,3.602,3.622,3.675,3.814,3.833,3.849,3.853,3.866,3.887,3.896,3.985,4.031,4.051,4.064,4.066,4.07,4.123,4.212,4.257,4.281,4.381,4.426,4.455,4.465,4.483,4.634,4.635,4.644,4.653,4.66,4.682,4.701,4.771,4.796,4.831,4.883,4.972,4.992,5.052,5.109,5.115,5.123,5.143,5.209,5.221,0.00040213,4.691e-05,0.00015274,0.08941487,6.92e-06,0.00010162,0.00012127,0.00297137,1.3e-06,0.00066673,3.141e-05,0.00031859,0.05247491,0.10335088,0.02179383,2.61e-06,8.53e-06,0.00037869,0.00012598,0.00025254,0.00072435,0.00401948,1e-07,0.50027134,0.00165972,0.00887747,1.932e-05,0.06259002,2.1e-07,5.02e-06,0.00076858,0.0001749,5.472e-05,0.00122817,0.00067922,1.065e-05,6.71e-06,0.00177416,0.00461133,0.00372777,0.00030932,7.143e-05,6.73e-06,0.00231252,3.317e-05,0.02608589,0.00138627,0.04863489,2.169e-05,0.07128439,4241827.999998522,-7.775513461955613,-0.7639050790003808,0.2151458505323356,-0.4619420327280383,1
